# The File can contains any number of empty lines and
# or starting with hash negliged by script
# The First meaningful line must contain the colum names
# Fallowing rows are traited as record.
# Fields must be quoted by single quote if strings or plain in case of Numeric values 
id, name
1, 'LN1'
2, 'LN2'
3, 'LN3'
4, 'MAR'
5, 'SVL'
6, 'ECW'
7, 'MPC'
8, 'POD'
9, 'OPOD'
10,'CNE'
11, 'MSL'
12, 'Land OLCI Processing and Archiving Centre'
13, 'Land SLSTR and SYN Processing and Archiving Centre'
14, 'Land Surface Topography Mission Processing and Archiving Centre'
15, 'Marine Processing and Archiving Centre'
16, 'Svalbard Satellite Core Ground Station'
17, 'ECMWF'
18, 'ESA s Mission Performance Coordinating Centre'
19, 'Offline POD Service'
20, 'CNES SALP service'
21, 'Mullard Space Science Laboratory'
22, 'UKMO'
23, 'FOS'
24, 'SSALTO'
25, 'ESOC'
26, 'EGP'
27, 'CDDIS'
28, 'IERS'
29, 'NOAA'
30, 'CNES'
31, 'On Ground Characterisation'
32, 'Land OLCI Processing and Archiving Centre (LN1)'
33, 'Land SLSTR and SYN Processing and Archiving Centre (LN2)'
34, 'Land Surface Topography Mission Processing and Archiving Centre (LN3)'
35, 'Marine Processing and Archiving Centre (MAR)'
36, 'Svalbard Satellite Core Ground Station (SVL)'
37, 'ECMWF (ECW)'
38, 'ESA s Mission Performance Coordinating Centre (MPC)'
39, 'Offline POD Service (POD)'
40, 'CNES SALP service (CNE)'
41, 'Mullard Space Science Laboratory (MSL)'
42, 'International Earth Rotation and Reference Systems service (IERS)'
43, 'Flight Operation Segment (FOS)'
44, 'ESA''s Mission Performance Coordinating Centre (MPC)'
45, 'LND'
46, 'POD_'
47, 'Marine Processing and Archiving Centre [MAR]'
48, 'ESA Mission Performance Coordinating Centre (MPC)'
49, 'EUMETSAT'
50, 'MPC_'
51, 'PDMC'
52, 'FOCC'
53, 'ADG_'
54, 'OSISAF'
55, 'Mission Planning'
